"","SPECIES","DATE","STATE","TIME","LOC","LAT","LONG","BAND_PR","BAND_N","L","R","AGE","SEX","WT","FAT","BM","BILL_L","BILL_W","BILL_D","WING","TARS","TAIL","RFID","GEOLOCATOR_ID","FEEDER","BANDER","NOTES","RECAP"
"64","LAZB",2019-07-04,"UT",0,"CG",NA,NA,2811,18164,"P","A","ASY","F",14.1,0,NA,7.21,5.29,5.61,69,16.95,65,"01103F3F90",NA,"CG6","AMV","BP","N"
"65","LAZB",2019-07-04,"UT",0,"CG",NA,NA,2811,18165,"P","A","SY","M",14.3,0,NA,7.73,5.76,5.63,72,16.84,55,"0110173C27",NA,"CG6","KSS","MEDIUM CP","N"
"66","LAZB",2019-07-05,"UT",0,"CC",NA,NA,2811,18166,"B","A","SY","M",14.2,0,NA,9.97,5.11,6.19,71,17.1,55,"011016D218",NA,"CC2","KSS","BILL DEFORMITY AT TIP, OVERHANG","N"
"67","LAZB",2019-07-05,"UT",0,"CC",NA,NA,2811,18167,"B","A","ASY","M",15.5,0,NA,7.86,4.92,5.63,72,17.42,55,"011016B156",NA,"CC2","KSS","LARGE CP, OLD WING INJURY - CRUSTY AND STIFF, CAN NOT EXTREND WING PROPERLY","N"
"68","LAZB",2019-07-05,"UT",0,"CG",NA,NA,2811,18168,"B","A","SY","M",15.2,0,NA,8.14,5.4,6.14,72,17.8,56,"01103F71B4",NA,"CC2","KSS","MEDIUM CP","N"
"69","LAZB",2019-07-06,"UT",0,"CG",NA,NA,2811,18144,"P","WA","ASY","M",15,0,NA,NA,NA,NA,NA,NA,NA,NA,"BT192","CG6","KSS","RECAP, ADDED GEO AND WHITE COLOR BAND","N"
"70","LAZB",2019-07-08,"UT",0,"CG",41.881178,-111.567395,2811,18169,"P","A","ASY","F",14.2,0,NA,7.5,4.84,6,74,18.09,56,"01103F755A",NA,"19-5","KSS","RECEADING BP","N"
"71","LAZB",2019-07-08,"UT",0,"CG",41.881178,-111.567395,2811,18170,"P","A","ASY","M",15.1,0,NA,7.66,4.63,6.7,73,16.73,58,"0110171F1D","BT166","19-5","KSS",NA,"N"
"72","LAZB",2019-07-09,"UT",0,"DC",41.729947,-111.78818,2811,18171,"B","WA","SY","M",15.7,NA,NA,7.25,4.6,6.27,74,16.84,51,"011016E452",NA,NA,"KSS","LARGE CP","N"
"73","LAZB",2019-07-09,"UT",0,"CC",NA,NA,2811,18172,"B","A","SY","F",14.6,0,NA,7.27,4.9,5.95,68,17.26,52,"01103F3A28",NA,"CC2","AMV","BP","N"
